id,lat,lng,name,created,modified
,35.7282349,139.9008572,プリンスハイツ市川,,
,35.5231859,139.7093871,シテラ川崎グランフォンテ,,
,35.4593976,139.6225511,横浜高島タウンハイツ,,
,35.4592254,139.6098526,ビッグヴァン横浜西,,
,35.4063337,139.5288382,ヴィルヌーブ戸塚,,
,35.3369344,139.4980579,ライオンズマンション藤沢弥勒寺,,
,35.3417227,139.4829644,クリオ藤沢弐番館,,
,35.3468766,139.4500698,ビッグヴァン湘南辻堂,,
,35.6426728,139.7564909,マリンシティダイヤモンドパレス,,
,35.6439587,139.7519274,ネオハイツ田町,,
,35.6485442,139.7523383,ワコー三田マンション,,
,35.644542,139.7547688,ニューハイム田町,,
,35.6393252,139.7491169,アルシオン芝浦,,
,35.6358037,139.7383177,高輪グランドハイツ,,
,35.6214272,139.7239723,ＮＫ五反田コータース,,
,35.6280432,139.727244,藤和島津山コープ,,
,35.6322921,139.7090788,目黒グリーンコープ,,
,35.6366165,139.707133,クレッセント目黒2,,
,35.6419968,139.7190943,ライオンズマンション広尾第２,,
,35.6609553,139.7067254,ニューハイツ青山,,
,35.6854271,139.6978086,ニューステイトメナー,,
,35.7168432,139.7058286,目白ハイツ,,
,35.713454,139.7159304,グランテラッセ西早稲田 南館,,
,35.7230095,139.7121749,パレドール目白,,
,35.7375059,139.7229012,マンション大塚,,
,35.7303008,139.730436,藤和南大塚コープ,,
,35.7322509,139.7361645,メゾン・デラビル巣鴨,,
,35.5713982,139.6355258,武蔵中原パークホームズ,,
,35.5849505,139.625056,ライオンズガーデンテラス武蔵新城,,
,35.6782052,139.4623096,エフユニバース,,
,35.490683,139.6389688,ナイスサンソレイユ妙蓮寺,,
,35.4304735,139.6379787,ランドシティ横濱山手参番館,,
,35.4262491,139.640273,ビッグヴァン横濱山手,,
,35.3788028,139.6251968,サングレイス新杉田,,
,35.3455064,139.5277212,藤和鎌倉台コープ,,
,35.7101204,139.6613133,ハイツ中野,,
,35.7027432,139.6487756,ネオコーポ高円寺,,
,35.7123949,139.6399483,横川エンゼルハイム阿佐谷,,
,35.7068314,139.6159728,プリンスマンション,,
,35.7080701,139.6157478,キャニオングランデ荻窪,,
,35.7117804,139.6020045,西荻第2国際マンション,,
,35.7035007,139.5990911,日伸西荻プラザ,,
,35.7110101,139.569724,エステート吉祥寺,,
,35.6964587,139.5609948,中銀三鷹マンシオン,,
,35.6998398,139.4174151,ダイアパレス立川,,
,35.8684286,139.6494178,レーベンハイム浦和常盤,,
,35.8039245,139.7104643,中銀川口マンシオン,,
